,d,fit_time,score,score_time,t,w
0,768,205.62507648468016,0.7909077201562387,0.18430490493774415,10,10
1,768,209.79748854637145,0.7758509104245414,0.18897743225097657,10,8
2,768,215.8890673160553,0.7542524769646638,0.19297418594360352,10,5
3,768,202.5371566295624,0.8001626708611148,0.19766006469726563,20,10
4,768,204.18425073623658,0.7932395133799709,0.1909792423248291,20,8
5,768,212.28825211524963,0.7745958342787376,0.19303879737854004,20,5
6,768,204.0787711620331,0.8104321105070765,0.1928196907043457,30,10
7,768,208.08930640220643,0.7986811716350075,0.19598541259765626,30,8
8,768,214.50163426399232,0.7750210788188873,0.19975733757019043,30,5
9,512,141.98425135612487,0.7871520513028727,0.19134345054626464,10,10
10,512,146.03869767189025,0.7777179359283647,0.1987764835357666,10,8
11,512,150.95526909828186,0.7513325695059907,0.19572577476501465,10,5
12,512,143.92593359947205,0.8009632760229939,0.19408245086669923,20,10
13,512,154.90297932624816,0.7890290215380289,0.21198830604553223,20,8
14,512,200.17139120101928,0.7708101896190077,0.2576171875,20,5
15,512,138.25406470298768,0.8057954170010465,0.1906834602355957,30,10
16,512,140.9647886276245,0.7932463439817347,0.2480034351348877,30,8
17,512,244.41416077613832,0.77880301655465,0.3089531421661377,30,5
18,256,113.65215749740601,0.7818959798361378,0.26260666847229003,10,10
19,256,104.59995822906494,0.7798144092220565,0.2833216190338135,10,8
20,256,103.84918789863586,0.7515450331664602,0.24128966331481932,10,5
21,256,71.36494345664978,0.8016091058394739,0.192710542678833,20,10
22,256,71.65079026222229,0.7919616714466838,0.18929953575134278,20,8
23,256,74.54251866340637,0.7720664689129674,0.19396862983703614,20,5
24,256,101.59652366638184,0.8074770468516125,0.37212553024291994,30,10
25,256,137.33003273010254,0.799123426856285,0.3295481204986572,30,8
26,256,96.32597208023071,0.7756443518963462,0.224462890625,30,5
